,en,es,de,ja,fr,it,pt
ITEM_GAEBOLG,Gáe Bolg,Gáe Bolg,Gáe Bolg,ゲイボルグ,Gáe Bolg,Gáe Bolg,Gáe Bolg
ITEM_HELSWATH,Helswath,Phuria,Hels Zorn,スワンチカ,Helswath,Helswath,Helswath
ITEM_YEWFELLE,Yewfelle,Yewfelle,Yewfelle,イチイバル,Yewfelle,Yewfelle,Yewfelle
ITEM_VALFLAME,Valflame,Valflame,Valflamme,ファラフレイム,Valflamme,Valflame,Valflame
ITEM_MJOLNIR,Mjölnir,Mjölnir,Mjölnir,トールハンマー,Mjölnir,Mjölnir,Mjölnir
ITEM_FORSETI,Forseti,Forseti,Forseti,フォルセティ,Forseti,Forseti,Forseti
ITEM_NAGA,Naga,Naga,Naga,ナーガ,Naga,Naga,Naga
ITEM_VALKYRIE,Valkyrie,Valkyrie,Valkyrie,バルキリーの杖,Valkyrie,Valkyrie,Valkyrie
ITEM_LOPTOUS,Loptous,Loptous,Loptous,ロプトウス,Loptous,Loptous,Loptous
ITEM_POWERRING,Power Ring,Power Ring,Power Ring,パワーリング,Power Ring,Power Ring,Power Ring
ITEM_MAGICRING,Magic ring,Magic ring,Magic ring,マジックリング,Magic ring,Magic ring,Magic ring
ITEM_SKILLRING,Skill ring,Skill ring,Skill ring,スキルリング,Skill ring,Skill ring,Skill ring
ITEM_SPEEDRING,Speed Ring,Speed Ring,Speed Ring,スピードリング,Speed Ring,Speed Ring,Speed Ring
ITEM_SHIELDRING,Shield ring,Shield ring,Shield ring,シールドリング,Shield ring,Shield ring,Shield ring
ITEM_BARRIERRING,Barrier ring,Barrier ring,Barrier ring,バリアリング,Barrier ring,Barrier ring,Barrier ring
ITEM_LEGRING,Leg ring,Leg ring,Leg ring,レッグリング,Leg ring,Leg ring,Leg ring
ITEM_RETURNBAND,Return band,Return band,Return band,リターンリング,Return band,Return band,Return band
ITEM_KNIGHTRING,Knight Ring,Knight Ring,Knight Ring,ナイトリング,Knight Ring,Knight Ring,Knight Ring
ITEM_PARAGONBAND,Paragon band,Paragon band,Paragon band,エリートリング,Paragon band,Paragon band,Paragon band
ITEM_PURSUITBAND,Pursuit band,Pursuit band,Pursuit band,ついげきリング,Pursuit band,Pursuit band,Pursuit band
ITEM_THIEFSBAND,Thief's band,Thief's band,Thief's band,シーフのうでわ,Thief's band,Thief's band,Thief's band
ITEM_BARGAINBAND,Bargain band,Bargain band,Bargain band,ねぎりのうでわ,Bargain band,Bargain band,Bargain band
ITEM_MIRACLEBAND,Miracle band,Miracle band,Miracle band,いのりのうでわ,Miracle band,Miracle band,Miracle band
ITEM_RENEWALBAND,Renewal band,Renewal band,Renewal band,ライブのうでわ,Renewal band,Renewal band,Renewal band
ITEM_CIRCLET,Circlet,Circlet,Circlet,サークレット,Circlet,Circlet,Circlet
ITEM_RECOVERRING,Recover Ring,Recover Ring,Recover Ring,リカバーリング,Recover Ring,Recover Ring,Recover Ring
ITEM_SHORTSWORD,Shortsword,Shortsword,Shortsword,ショートソード,Shortsword,Shortsword,Shortsword
ITEM_VENINEDGE,Venin Edge,Esp. envenenada,Giftschwert,どくの剣,Épée venin,Spada velenosa,Venin Edge
ITEM_PARAGONSWORD,Paragon Sword,Paragon Sword,Paragon Sword,エリートの剣,Paragon Sword,Paragon Sword,Paragon Sword
ITEM_LONGSWORD,Longsword,Longsword,Longsword,ロングソード,Longsword,Longsword,Longsword
ITEM_RAPIER,Rapier,Estoque,Rapier,レイピア,Rapière,Spadino,Rapier
ITEM_KILLINGEDGE,Killing Edge,Espada asesina,Schnitter,キルソード,Fer létal,Lama letale,Killing Edge
ITEM_KINGMAKER,Kingmaker,Kingmaker,Kingmaker,おうじゃの剣,Kingmaker,Kingmaker,Kingmaker
ITEM_GREATSWORD,Greatsword,Greatsword,Greatsword,グレートソード,Greatsword,Greatsword,Greatsword
ITEM_LIGHTNINGSWORD,Lightning Sword,Espada rayo,Blitzschwert,いかずちの剣,Épée foudre,Spada folgore,Lightning Sword
ITEM_MASTERSWORD,Master Sword,Meisterschwert,Meisterschwert,マスターソード,Meisterschwert,Meisterschwert,Master Sword
ITEM_SHADOWSWORD,Shadow Sword,Espada oscura,Schattenschwert,あんこくの剣,Épée d'ombre,Spada ombra,Shadow Sword
ITEM_MAREETASSWORD,Mareeta's Sword,Espada Mareeta,Mareetas Schwert,マリータの剣,Épée de Mareeta,Spada di Mareeta,Mareeta's Sword
ITEM_BEOBLADE,Beo Blade,Beo Blade,Beo Blade,ベオの剣,Beo Blade,Beo Blade,Beo Blade
ITEM_BLESSEDSWORD,Blessed Sword,Espada bendita,Sakralschwert,せいなる剣,Épée bénie,Spada benedetta,Blessed Sword
ITEM_BRAGISBLADE,Bragi's Blade,Bragi's Blade,Bragi's Blade,ブラギの剣,Bragi's Blade,Bragi's Blade,Bragi's Blade
ITEM_LOPTRIANFANG,Loptrian Fang,Loptrian Fang,Loptrian Fang,ロプトの剣,Loptrian Fang,Loptrian Fang,Loptrian Fang
ITEM_SHORTLANCE,Short Lance,Short Lance,Short Lance,ショートランス,Short Lance,Short Lance,Short Lance
ITEM_VENINLANCE,Venin Lance,Lanza envenenada,Giftlanze,どくのやり,Lance-venin,Lancia velenosa,Venin Lance
ITEM_LONGLANCE,Long Lance,Long Lance,Long Lance,ロングランス,Long Lance,Long Lance,Long Lance
ITEM_GREATLANCE,Greatlance,Greatlance,Greatlance,グレートランス,Greatlance,Greatlance,Greatlance
ITEM_KILLERLANCE,Killer Lance,Lanza asesina,Meisterlanze,キラーランス,Lance létale,Lancia letale,Killer Lance
ITEM_RIDERSBANE,Ridersbane,Antijinetes,Rittertod,ナイトキラー,Caballucide,Picca,Ridersbane
ITEM_MASTERLANCE,Master Lance,Master Lance,Master Lance,マスターランス,Master Lance,Master Lance,Master Lance
ITEM_DRAGONPIKE,Dragonpike,L dragón,Drachenlnz.,ドラゴンランス,Dracopique,Lc. draghi,Dragonpike
ITEM_VENINAXE,Venin Axe,Hacha envenenada,Giftaxt,どくのおの,Hache-venin,Hache poison,Venin Axe
ITEM_DEVILAXE,Devil Axe,Hacha demoníaca,Teufelsaxt,デビルアクス,Hache noire,Ascia demonica,Devil Axe
ITEM_KILLERAXE,Killer Axe,Hacha asesina,Meisteraxt,キラーアクス,Hache létale,Ascia letale,Killer Axe
ITEM_HAMMER,Hammer,Martillo,Hammer,ハンマー,Marteau,Martello,Hammer
ITEM_POLEAX,Poleax,Alabarda,Stabaxt,ポールアクス,Hache polaire,Alabarda,Poleax
ITEM_BATTLEAXE,Battle Axe,Hacha de guerra,Kampfaxt,バトルアクス,Hache bellum,Ascia guerra,Battle Axe
ITEM_MASTERAXE,Master Axe,Master Axe,Master Axe,マスターアクス,Master Axe,Master Axe,Master Axe
ITEM_VOUGE,Vouge,Guja,Vouge,プージ,Voulge,Roncone,Vouge
ITEM_SHORTBOW,Short Bow,Arco corto,Kurzbogen,ショートボウ,Arc court,Arco corto,Short Bow
ITEM_VENINBOW,Venin Bow,Arco envenenado,Giftbogen,どくの弓,Arc-venin,Arco velenoso,Venin Bow
ITEM_LONGBOW,Longbow,Longbow,Longbow,ロングボウ,Longbow,Longbow,Longbow
ITEM_GREATBOW,Greatbow,Greatbow,Greatbow,グレートボウ,Greatbow,Greatbow,Greatbow
ITEM_MASTERBOW,Master Bow,Meisterbogen,Meisterbogen,マスターボウ,Meisterbogen,Meisterbogen,Master Bow
ITEM_VENINBALLISTA,Venin Ballista,Venin Ballista,Venin Ballista,ポイズンアーチ,Venin Ballista,Venin Ballista,Venin Ballista
ITEM_TORCH,Torch,Antorcha,Fackel,トーチ,Torche,Torcia,Torch
ITEM_ENSORCEL,Ensorcel,Ensorcel,Ensorcel,Ｍアップ,Ensorcel,Ensorcel,Ensorcel
ITEM_REWARP,Rewarp,Teletransportar,Fortschritt,リワープ,Téléportation,Teletrasporto,Rewarp
ITEM_HAMMERNE,Hammerne,Hammerne,Hammerne,リペア,Hammerne,Hammerne,Hammerne
ITEM_UNLOCK,Unlock,Abrir,Öffner,アンロック,Passe,Sblocco,Unlock
ITEM_KIA,Kia,Kia,Kia,キア,Kia,Kia,Kia
ITEM_DIRETHUNDER,Dire Thunder,Trueno funesto,Fataler Donner,ダイムサンダ,Tonnerre double,Tuono potente,Dire Thunder
ITEM_GRAFCALIBUR,Grafcalibur,Grafcalibur,Graphcalibur,グラフカリバー,Grafcalibur,Grafcalibur,Grafcalibur
ITEM_JORMUNGANDR,Jörmungandr,Jörmungandr,Jörmungandr,ヨツムンガンド,Jörmungandr,Jörmungandr,Jörmungandr
ITEM_VENIN,Venin,Venin,Venin,ポイズン,Venin,Venin,Venin
ITEM_STONE,Stone,Petrificar,Versteinerung,ストーン,Pétrifié,Pietra,Stone
ITEM_VULNERARY,Vulnerary,Poción,Heilmittel,きずぐすり,Potion,Unguento,Vulnerary
ITEM_PUREWATER,Pure Water,Agua Pura,Weihwasser,せいすい,Eau pure,Acqua Pura,Pure Water
ITEM_ANTITOXIN,Antitoxin,Antídoto,Antidot,どくけし,Antidote,Antitossina,Antitoxin
ITEM_DOORKEY,Door Key,Llave puerta,Türschlüssel,とびらのかぎ,Clé porte,Chiave porta,Door Key
ITEM_BRIDGEKEY,Bridge Key,Llave puente,Brückschlüssel,はねばしのかぎ,Clé pont,Chiave ponte,Bridge Key
ITEM_CHESTKEY,Chest Key,Llave cofre,Truhenschlüssel,たからのかぎ,Clé coffre,Chiave cassa,Chest Key
ITEM_LOCKPICK,Lockpick,Ganzúas,Dietrich,とうぞくのかぎ,Crochet,Chiave scasso,Lockpick
ITEM_VIPCARD,VIP Card,Tarjeta miembro,Mitglied-Karte,メンバーカード,Carte membre,Biglie bonus,VIP Card
ITEM_SDRINK,S Drink,Poción de vigor,G-Getränk,Ｓドリンク,Boisson S,Elisir speciale,S Drink
ITEM_MASTERSEAL,Master Seal,Sello maestro,Meistersiegel,ナイトプルフ,Magister,Sigillo supremo,Master Seal
ITEM_LIFERING,Life Ring,Life Ring,Life Ring,ライブリング,Life Ring,Life Ring,Life Ring
ITEM_STRENGTHRING,Strength Ring,Strength Ring,Strength Ring,パワーリング,Strength Ring,Strength Ring,Strength Ring
ITEM_LUCKRING,Luck Ring,Luck Ring,Luck Ring,ラックリング,Luck Ring,Luck Ring,Luck Ring
ITEM_BODYRING,Body Ring,Body Ring,Body Ring,ボディリング,Body Ring,Body Ring,Body Ring
ITEM_PARAGONMANUAL,Paragon Manual,Paragon Manual,Paragon Manual,エリートＭ,Paragon Manual,Paragon Manual,Paragon Manual
ITEM_WRATHMANUAL,Wrath Manual,Wrath Manual,Wrath Manual,いかりＭ,Wrath Manual,Wrath Manual,Wrath Manual
ITEM_VANTAGEMANUAL,Vantage Manual,Vantage Manual,Vantage Manual,まちぶせＭ,Vantage Manual,Vantage Manual,Vantage Manual
ITEM_ACCOSTMANUAL,Accost Manual,Accost Manual,Accost Manual,とつげきＭ,Accost Manual,Accost Manual,Accost Manual
ITEM_SOLMANUAL,Sol Manual,Sol Manual,Sol Manual,たいようＭ,Sol Manual,Sol Manual,Sol Manual
ITEM_NIHILMANUAL,Nihil Manual,Nihil Manual,Nihil Manual,みきりＭ,Nihil Manual,Nihil Manual,Nihil Manual
ITEM_LUNAMANUAL,Luna Manual,Luna Manual,Luna Manual,げっこうＭ,Luna Manual,Luna Manual,Luna Manual
ITEM_ADEPTMANUAL,Adept Manual,Adept Manual,Adept Manual,れんぞくＭ,Adept Manual,Adept Manual,Adept Manual
ITEM_HEZULSSCROLL,Hezul's Scroll,Hezul's Scroll,Hezul's Scroll,ヘズルの書,Hezul's Scroll,Hezul's Scroll,Hezul's Scroll
ITEM_BALDRSSCROLL,Baldr's Scroll,Baldr's Scroll,Baldr's Scroll,バルドの書,Baldr's Scroll,Baldr's Scroll,Baldr's Scroll
ITEM_CEDSSCROLL,Ced's Scroll,Ced's Scroll,Ced's Scroll,セティの書,Ced's Scroll,Ced's Scroll,Ced's Scroll
ITEM_ODSSCROLL,Od's Scroll,Od's Scroll,Od's Scroll,オードの書,Od's Scroll,Od's Scroll,Od's Scroll
ITEM_NEIRSSCROLL,Neir's Scroll,Neir's Scroll,Neir's Scroll,ネールの書,Neir's Scroll,Neir's Scroll,Neir's Scroll
ITEM_FJALARSSCROLL,Fjalar's Scroll,Fjalar's Scroll,Fjalar's Scroll,ファラの書,Fjalar's Scroll,Fjalar's Scroll,Fjalar's Scroll
ITEM_HEIMSSCROLL,Heim's Scroll,Heim's Scroll,Heim's Scroll,ヘイムの書,Heim's Scroll,Heim's Scroll,Heim's Scroll
ITEM_DAINNSSCROLL,Dáinn's Scroll,Dáinn's Scroll,Dáinn's Scroll,ダインの書,Dáinn's Scroll,Dáinn's Scroll,Dáinn's Scroll
ITEM_ULLURSSCROLL,Ullur's Scroll,Ullur's Scroll,Ullur's Scroll,ウルの書,Ullur's Scroll,Ullur's Scroll,Ullur's Scroll
ITEM_BRAGISSCROLL,Bragi's Scroll,Bragi's Scroll,Bragi's Scroll,ブラギの書,Bragi's Scroll,Bragi's Scroll,Bragi's Scroll
ITEM_NJORUNSSCROLL,Njörun's Scroll,Njörun's Scroll,Njörun's Scroll,ノヴァの書,Njörun's Scroll,Njörun's Scroll,Njörun's Scroll
ITEM_THRUDSSCROLL,Thrud's Scroll,Thrud's Scroll,Thrud's Scroll,トードの書,Thrud's Scroll,Thrud's Scroll,Thrud's Scroll
ITEM_BARGAINMANUAL,Bargain Manual,Bargain Manual,Bargain Manual,ねぎりＭ,Bargain Manual,Bargain Manual,Bargain Manual
ITEM_MIRACLEMANUAL,Miracle Manual,Miracle Manual,Miracle Manual,いのりＭ,Miracle Manual,Miracle Manual,Miracle Manual
