,en,es,de,ja,fr,it,pt
ALVA,Alva,Alva,Alva,アルバ,Alva,Alva,Alva
ROBERT,Robert,Robert,Robert,ロベルト,Robert,Robert,Robert
FRED,Fred,Fred,Fred,フレッド,Fred,Fred,Fred
OLWEN,Olwen,Olwen,Olwen,オルエン,Olwen,Olwen,Olwen
SALEM,Salem,Salem,Salem,セイラム,Salem,Salem,Salem
PERNE,Perne,Perne,Perne,パーン,Perne,Perne,Perne
TINA,Tina,Tina,Tina,ティナ,Tina,Tina,Tina
TROUDE,Troude,Troude,Troude,トルード,Troude,Troude,Troude
GLADE,Glade,Glade,Glade,グレイド,Glade,Glade,Glade
DEEN,Deen,Deen,Deen,ディーン,Deen,Deen,Deen
EDA,Eda,Eda,Eda,エダ,Eda,Eda,Eda
HOMER,Homer,Homer,Homer,ホメロス,Homer,Homer,Homer
LINOAN,Linoan,Linoan,Linoan,リノアン,Linoan,Linoan,Linoan
RALF,Ralf,Ralf,Ralf,ラルフ,Ralf,Ralf,Ralf
ILIOS,Ilios,Ilios,Ilios,イリオス,Ilios,Ilios,Ilios
SLEUF,Sleuf,Sleuf,Sleuf,スルーフ,Sleuf,Sleuf,Sleuf
SARA,Sara,Sara,Sara,サラ,Sara,Sara,Sara
MIRANDA,Miranda,Miranda,Miranda,ミランダ,Miranda,Miranda,Miranda
SHANNAM,Shannam,Shannam,Shannam,シャナム,Shannam,Shannam,Shannam
MISHA,Misha,Misha,Misha,ミーシャ,Misha,Misha,Misha
XAVIER,Xavier,Xavier,Xavier,ゼーベイア,Xavier,Xavier,Xavier
AMALDA,Amalda,Amalda,Amalda,アマルダ,Amalda,Amalda,Amalda
CONOMOR,Conomor,Conomor,Conomor,コノモール,Conomor,Conomor,Conomor
DIARMUID,Diarmuid,Diarmuid,Diarmuid,デルムッド,Diarmuid,Diarmuid,Diarmuid
CED,Ced,Ced,Ced,セティ,Ced,Ced,Ced
GALZUS,Galzus,Galzus,Galzus,ガルザス,Galzus,Galzus,Galzus
SAIAS,Saias,Saias,Saias,サイアス,Saias,Saias,Saias
JULIUS,Julius,Julius,Julius,ユリウス,Julius,Julius,Julius
MANFROY,Manfroy,Manfroy,Manfroy,マンフロイ,Manfroy,Manfroy,Manfroy
TRAVANT,Travant,Travant,Travant,トラバント,Travant,Travant,Travant
ISHTAR,Ishtar,Ishtar,Ishtar,イシュター,Ishtar,Ishtar,Ishtar
VELD,Veld,Veld,Veld,ベルド,Veld,Veld,Veld
MUA,Moore,Moore,Moore,ムーア,Moore,Moore,Moore
SELIPH,Seliph,Seliph,Seliph,セリス,Seliph,Seliph,Seliph
ALTENA,Altena,Altena,Altena,アルテナ,Altena,Altena,Altena
LARCEI,Larcei,Larcei,Larcei,ラクチェ,Larcei,Larcei,Larcei
LANA,Lana,Lana,Lana,ラナ,Lana,Lana,Lana
LESTER,Lester,Lester,Lester,レスター,Lester,Lester,Lester
SKASAHER,Scáthach,Scáthach,Scáthach,スカサハ,Scáthach,Scáthach,Scáthach
LENE,Lene,Lene,Lene,リーン,Lene,Lene,Lene
FEE,Fee,Fee,Fee,フィー,Fee,Fee,Fee
FAVAL,Febail,Febail,Febail,ファバル,Febail,Febail,Febail
JACOBAN,Jacoban,Jacoban,Jacoban,ジャコバン,Jacoban,Jacoban,Jacoban
PAPIL,Papilion,Papilion,Papilion,パピヨン,Papilion,Papilion,Papilion
PIZARL,Pizarl,Pizarl,Pizarl,ピサール,Pizarl,Pizarl,Pizarl
DOBARL,Dobarl,Dobarl,Dobarl,ドバール,Dobarl,Dobarl,Dobarl
CUVULI,Cuvuli,Cuvuli,Cuvuli,クブリ,Cuvuli,Cuvuli,Cuvuli
DEETVER,Díthorba,Díthorba,Díthorba,ディートバ,Díthorba,Díthorba,Díthorba
MAIOS,Myos,Myos,Myos,マイオス,Myos,Myos,Myos
PAMELA,Pamela,Pamela,Pamela,パメラ,Pamela,Pamela,Pamela
DONOVAN,Donovan,Donovan,Donovan,ドノバン,Donovan,Donovan,Donovan
LAMIA,Lamia,Lamia,Lamia,レイミア,Lamia,Lamia,Lamia
DACCAR,Daccar,Daccar,Daccar,ダッカー,Daccar,Daccar,Daccar
SLAYDER,Slayder,Slayder,Slayder,スレイダー,Slayder,Slayder,Slayder
ANDREY,Andrey,Andrey,Andrey,アンドレイ,Andrey,Andrey,Andrey
LANGOBALT,Langbalt,Langbalt,Langbalt,ランゴバルト,Langbalt,Langbalt,Langbalt
MAGORN,Magorn,Magorn,Magorn,マゴーネ,Magorn,Magorn,Magorn
VAHA,Vaja,Vaja,Vaja,ヴァハ,Vaja,Vaja,Vaja
REPTOR,Reptor,Reptor,Reptor,レプトール,Reptor,Reptor,Reptor
HAROLD,Harold,Harold,Harold,ハロルド,Harold,Harold,Harold
SCHMIDT,Schmidt,Schmidt,Schmidt,シュミット,Schmidt,Schmidt,Schmidt
DANANN,Danann,Danann,Danann,ダナン,Danann,Danann,Danann
KUTUZOV,Kutuzov,Kutuzov,Kutuzov,クトゥーゾフ,Kutuzov,Kutuzov,Kutuzov
LIZA,Liza,Liza,Liza,ライザ,Liza,Liza,Liza
ISHTORE,Ishtore,Ishtore,Ishtore,イシュトー,Ishtore,Ishtore,Ishtore
JABARRO,Javarro,Javarro,Javarro,ジャバロー,Javarro,Javarro,Javarro
BRAMSEL,Bramsel,Bramsel,Bramsel,ブラムセル,Bramsel,Bramsel,Bramsel
VAMPA,Banba,Banba,Banba,ヴァンパ,Banba,Banba,Banba
ELIU,Eriu,Eriu,Eriu,エリウ,Eriu,Eriu,Eriu
FETRA,Fotla,Fotla,Fotla,フェトラ,Fotla,Fotla,Fotla
BLOOM,Bloom,Bloom,Blume,ブルーム,Bloom,Bloom,Bloom
MUHAMMED,Muhammad,Muhammad,Muhammad,ムハマド,Muhammad,Muhammad,Muhammad
OVO,Ovo,Ovo,Ovo,オーヴォ,Ovo,Ovo,Ovo
COULTER,Coulter,Coulter,Coulter,コルータ,Coulter,Coulter,Coulter
MAIKOV,Maykov,Maykov,Maykov,マイコフ,Maykov,Maykov,Maykov
KANATZ,Kanatz,Kanatz,Kanatz,カナッツ,Kanatz,Kanatz,Kanatz
DISLER,Disler,Disler,Disler,ディスラー,Disler,Disler,Disler
MUSAR,Musar,Musar,Musar,ムーサー,Musar,Musar,Musar
JUDA,Judah,Judah,Judah,ジュダ,Judah,Judah,Judah
AREONE,Arion,Arion,Arion,アリオーン,Arion,Arion,Arion
RIDALE,Ridale,Ridale,Ridale,リデール,Ridale,Ridale,Ridale
HILDA,Hilda,Hilda,Hilda,ヒルダ,Hilda,Hilda,Hilda
MORIGAN,Morigan,Morigan,Morigan,モリガン,Morigan,Morigan,Morigan
ZAGGAM,Zagam,Zagam,Zagam,ザガム,Zagam,Zagam,Zagam
BOYCE,Boyce,Boyce,Boyce,ボイス,Boyce,Boyce,Boyce
RODAN,Rodan,Rodan,Rodan,ロダン,Rodan,Rodan,Rodan
YUPHEEL,Yupheel,Yupheel,Yupheel,ユフィール,Yupheel,Yupheel,Yupheel
FISHER,Fisher,Fisher,Fisher,フィッシャー,Fisher,Fisher,Fisher
BURIAN,Brian,Brian,Brian,ブリアン,Brian,Brian,Brian
DAGON,Dagon,Dagon,Dagon,ダゴン,Dagon,Dagon,Dagon
SCORPIO,Scipio,Scipio,Scipio,スコピオ,Scipio,Scipio,Scipio
BARAN,Baran,Baran,Baran,バラン,Baran,Baran,Baran
MENG,Meng,Meng,Meng,メング,Meng,Meng,Meng
BLEG,Bleg,Bleg,Bleg,ブレグ,Bleg,Bleg,Bleg
MAYBELL,Maybell,Maybell,Maybell,メイベル,Maybell,Maybell,Maybell
EINS,Mus,Mus,Mus,アインス,Mus,Mus,Mus
ZWEI,Bovis,Bovis,Bovis,ツヴァイ,Bovis,Bovis,Bovis
DREI,Tigris,Tigris,Tigris,ドライ,Tigris,Tigris,Tigris
VIER,Lepus,Lepus,Lepus,フィーア,Lepus,Lepus,Lepus
FUNF,Draco,Draco,Draco,フュンフ,Draco,Draco,Draco
SECHS,Anguilla,Anguilla,Anguilla,ゼクス,Anguilla,Anguilla,Anguilla
SIEBEN,Equus,Equus,Equus,ズイーベン,Equus,Equus,Equus
ACHT,Ovis,Ovis,Ovis,アハト,Ovis,Ovis,Ovis
NEUN,Simia,Simia,Simia,ノイン,Simia,Simia,Simia
ZEHN,Gallus,Gallus,Gallus,ツェーン,Gallus,Gallus,Gallus
ELF,Canis,Canis,Canis,エルフ,Canis,Canis,Canis
ZWOLF,Porcus,Porcus,Porcus,ツヴェルフ,Porcus,Porcus,Porcus
ROBOS,Lobos,Lobos,Lobos,ロボス,Lobos,Lobos,Lobos
BANDOL,Bandol,Bandol,Bandol,バンドル,Bandol,Bandol,Bandol
TRUMP,Truman,Truman,Truman,トルーマン,Truman,Truman,Truman
AIZENAU,Eisenau,Eisenau,Eisenau,アイゼナウ,Eisenau,Eisenau,Eisenau
RUMEI,Rumei,Rumei,Rumei,ルーメイ,Rumei,Rumei,Rumei
GOMES,Gomes,Gomes,Gomes,ゴメス,Gomes,Gomes,Gomes
MARLOCK,Merlock,Merlock,Merlock,マーロック,Merlock,Merlock,Merlock
DOBALZARK,Dvorak,Dvorak,Dvorak,ドボルザーク,Dvorak,Dvorak,Dvorak
LARGO,Largo,Largo,Largo,ラルゴ,Largo,Largo,Largo
KEMPF,Kempf,Kempf,Kempf,ケンプフ,Kempf,Kempf,Kempf
LIST,List,List,List,リスト,List,List,List
OLTOPH,Oltoph,Oltoph,Oltoph,オルトフ,Oltoph,Oltoph,Oltoph
COLHO,Cullough,Cullough,Cullough,コルホ,Cullough,Cullough,Cullough
BALDACK,Baldack,Baldack,Baldack,バルダック,Baldack,Baldack,Baldack
PAULUS,Paulus,Paulus,Paulus,パウルス,Paulus,Paulus,Paulus
MAKROY,Makroy,Makroy,Makroy,マクロイ,Makroy,Makroy,Makroy
CODHA,Codda,Codda,Codda,コッダ,Codda,Codda,Codda
AIHIMAN,Aihiman,Aihiman,Aihiman,アイヒマン,Aihiman,Aihiman,Aihiman
ZYLE,Zyle,Zyle,Zyle,ザイル,Zyle,Zyle,Zyle
NIKALAF,Nikalaf,Nikalaf,Nikalaf,ニカラフ,Nikalaf,Nikalaf,Nikalaf
MYULER,Mueller,Mueller,Mueller,ミュラー,Mueller,Mueller,Mueller
PALMAN,Palman,Palman,Palman,パルマン,Palman,Palman,Palman
GUSTAV,Gustav,Gustav,Gustav,グスタフ,Gustav,Gustav,Gustav
WOLFF,Wolf,Wolf,Wolf,ウォルフ,Wolf,Wolf,Wolf
BARAAT,Baráth,Baráth,Baráth,バラート,Baráth,Baráth,Baráth
SEIMETOL,Seimetol,Seimetol,Seimetol,セイメトル,Seimetol,Seimetol,Seimetol
FLAUS,Fraus,Fraus,Fraus,フラウス,Fraus,Fraus,Fraus
ZAOM,Zaom,Zaom,Zaom,ザオム,Zaom,Zaom,Zaom
REINHARDT,Reinhardt,Reinhardt,Reinhardt,ラインハルト,Reinhardt,Reinhardt,Reinhardt
COWEN,Cowen,Cowen,Cowen,コーエン,Cowen,Cowen,Cowen
ALPHAND,Alphand,Alphand,Alphand,アルファン,Alphand,Alphand,Alphand
FARDEN,Farden,Farden,Farden,ファーデン,Farden,Farden,Farden
PATTY,Patty,Patty,Patty,パティ,Patty,Patty,Patty
ARTHUR,Arthur,Arthur,Arthur,アーサー,Arthur,Arthur,Arthur
TINE,Tine,Tine,Tine,ティニー,Tine,Tine,Tine
MAHNYA,Mahnya,Mahnya,Mahnya,マーニャ,Mahnya,Mahnya,Mahnya
VYLON,Byron,Byron,Byron,バイロン,Byron,Byron,Byron
IDA,Aida,Aida,Aida,アイダ,Aida,Aida,Aida
PALMARK,Palmark,Palmark,Palmark,パルマーク,Palmark,Palmark,Palmark
ROBERTFE4,Robert,Robert,Robert,ロベルト,Robert,Robert,Robert
RINECOCK,Linecock,Linecock,Linecock,ラインコック,Linecock,Linecock,Linecock
AZMUR,Azmur,Azmur,Azmur,アズムール,Azmur,Azmur,Azmur
KURTH,Kurth,Kurth,Kurth,クルト,Kurth,Kurth,Kurth
BATU,Batur,Batur,Batur,バトゥ,Batur,Batur,Batur
IMCA,Imca,Imca,Imca,イムカ,Imca,Imca,Imca
RAHNA,Lahna,Lahna,Lahna,ラーナ,Lahna,Lahna,Lahna
RING,Ring,Ring,Ring,リング,Ring,Ring,Ring
ANNA,Anna,Anna,Anna,アンナ,Anna,Anna,Anna
DRYAS,Dryas,Dryas,Dryas,ドリアス,Dryas,Dryas,Dryas
AUGUST,August,August,August,アウグスト,August,August,August
BROOK,Brook,Brook,Brook,ブルック,Brook,Brook,Brook
EIN,Eins,Eins,Eins,アインス,Eins,Eins,Eins
ZWEIFE5,Zwei,Zwei,Zwei,ツヴァイ,Zwei,Zwei,Zwei
DREIFE5,Drei,Drei,Drei,ドライ,Drei,Drei,Drei
FUNFFE5,Fünf,Fünf,Fünf,フュンフ,Fünf,Fünf,Fünf
ELFFE5,Elf,Elf,Elf,エルフ,Elf,Elf,Elf
ZWOLFFE5,Zwölf,Zwölf,Zwölf,ツヴェルフ,Zwölf,Zwölf,Zwölf
