,en,es,de,ja,fr,it
C1HOUSE4A-O5,"Hey, I came her efor the axe, not to get chewed out!",,,,,
C1HOUSE4A-M6,"If that's all you wanted, then get going!",,,,,
C1HOUSE4A-M7,"Go on, now! Don't keep the Commander waitin' on you!",,,,,
C1HOUSE4A-O6,You don't need to tell me twice!,,,,,
,,,,,,
C1HOUSE4B-M1,Where has that fool boy of mine gone off to in this fracas?.,,,,,
C1HOUSE4B-M2,"I swear, my Osian's gonna get himself killed one of these days...",,,,,
C1HOUSE4B-M3,"Those Verdane thugs are lucky Lord Byron isn't arounf with his holy sword, Tyrfing.",,,,,
C1HOUSE4B-M4,They wouldn't stand a chance!,,,,,
,,,,,,
C1HOUSE5A-YL1,Big Brother! I've got something special for you!,,,,,
C1HOUSE5A-YL2,"You can use this to keep yourself safe, right?",,,,,
C1HOUSE5A-H1,An... axe? Where in the world did you get such a fine weapon?,,,,,
C1HOUSE5A-YL3,"Darnedest thing... I was walkin' past the lake up on the mountain, when this strange ol' crone just floated outta the water!",,,,,
C1HOUSE5A-YL4,"She gave it to me, then vanished, quick as you can blink!",,,,,
C1HOUSE5A-YL5,"I been keepin' it for you, an' takin' real good care of it.",,,,,
C1HOUSE5A-YL6,"Now go put it to use, an' make me proud!",,,,,
,,,,,,
C1HOUSE5B-M1,"Hey, hey, have you seen my big brother Halvan?",,,,,
C1HOUSE5B-M2,He's got me awful scared...,,,,,
C1HOUSE5B-M3,I hope he's all right...,,,,,
,,,,,,
C1DAGDAR-EYVEL-E1,Dagdar!? You... came to fight with us?,,,,,
C1DAGDAR-EYVEL-D1,Eyvel! Does me heart good to see you in one piece!,,,,,
C1DAGDAR-EYVEL-D2,"Listen, ya have any idea why the Empire would come all the way out here?",,,,,
C1DAGDAR-EYVEL-D3,It have anything to do with... the boy?,,,,,
C1DAGDAR-EYVEL-E2,"Yeah. The little Lord Leif, he's... he's not just some nobleman.",,,,,
C1DAGDAR-EYVEL-E3,He's the heir of House Lenster.,,,,,
C1DAGDAR-EYVEL-E4,I've been helping him hide from the Empire.,,,,,
C1DAGDAR-EYVEL-E5,I'm sorry... I shouldn't have kept it from you.,,,,,
C1DAGDAR-EYVEL-D4,"Mm, I figured as much. Well, no use worryin' about it now.",,,,,
C1DAGDAR-EYVEL-D5,"Long as I get to cut down some of those Imperial dastards meself, we're even.",,,,,
,,,,,,
DAGDARSPAWN-T,"Papa, the fighting started already!",,,,,
DAGDARSPAWN-D1,Ain't no good way to go about this damned battle...,,,,,
DAGDARSPAWN-D2,"Don't matter how good Eyvel is, there is only one of her an' over a dozen of them. We need to hurry.",,,,,
DAGDARSPAWN-M,"Oh, fer cryin' out loud! Not again...",,,,,
